id,date,time,event,path
id,date,time,event,path
id,date,time,event,path
286,2023-03-28,18:42:14.797164,created,/home/uwu/clgtp/gfgy
288,2023-03-28,18:44:24.502843,created,/home/uwu/clgtp/gfg
289,2023-03-28,18:44:24.515370,modified,/home/uwu/clgtp/gfg
290,2023-03-28,18:44:24.518598,closed,/home/uwu/clgtp/gfg
291,2023-03-28,18:44:29.302285,deleted,/home/uwu/clgtp/gfg
292,2023-03-28,18:44:36.824425,moved,/home/uwu/clgtp/gfgy to /home/uwu/clgtp/hfhd
293,2023-04-05,11:48:31.211686,deleted,/home/uwu/clgtp/hqttgd
294,2023-04-27,11:49:18.208693,created,/home/uwu/clgtp/text document 2.txt
295,2023-04-27,11:49:18.228406,closed,/home/uwu/clgtp/text document 2.txt
296,2023-04-27,11:49:18.230983,modified,/home/uwu/clgtp/text document 2.txt
